pkg_len,pkg_iat,pkt_dir
1354,6520,-1
1437,651,-1
20,26,1
1420,59,-1
1439,16,-1
20,11,1
1439,46,-1
1431,12,-1
20,9,1
1175,35,-1
1440,11,-1
20,9,1
1035,38,-1
35,46079,1
1431,7290,-1
1427,44,-1
20,16,1
1440,46,-1
1426,11,-1
20,8,1
1425,42,-1
1345,5,-1
20,6,1
569,1115,1
20,167,-1
569,534,1
20,160,-1
1440,67,-1
1437,8,-1
20,6,1
1439,32,-1
1434,11,-1
20,8,1
1439,39,-1
945,10,-1
20,8,1
1440,30,-1
1440,7,-1
20,9,1
1440,34,-1
1440,10,-1
20,9,1
1412,30,-1
1440,9,-1
20,8,1
1375,27,-1
20,18,1
1438,41360,-1
1428,54,-1
20,32,1
1440,59,-1
982,14,-1
20,9,1
1440,930,-1
1416,20,-1
20,12,1
1440,41,-1
1316,12,-1
20,11,1
1439,1850,-1
1430,22,-1
20,15,1
1438,49,-1
1425,12,-1
20,10,1
1438,46,-1
1424,12,-1
20,8,1
1368,37,-1
1440,18,-1
1440,5,-1
20,3,1
1085,15,-1
563,1155,1
20,119,-1
1431,20550,-1
1440,32,-1
20,12,1
1440,35,-1
1440,7,-1
20,5,1
1438,20,-1
990,5,-1
20,3,1
1440,15,-1
1440,5,-1
20,4,1
1440,27,-1
1434,6,-1
20,5,1
1162,21,-1
1440,6,-1
20,5,1
1433,5,-1
1432,4,-1
1387,3,-1
1265,2,-1
85,114,1
20,63,-1
569,2109,1
20,59,-1
1351,8881,-1
1432,1045,-1
20,30,1
1440,77,-1
1433,7,-1
20,5,1
1290,25,-1
1440,1167,-1
20,18,1
1439,25,-1
1438,7,-1
20,5,1
1080,18,-1
1436,7,-1
20,5,1
1407,44,-1
20,10,1
1440,39,-1
1155,12,-1
20,11,1
1440,35,-1
1432,11,-1
20,9,1
1438,34,-1
1440,10,-1
20,8,1
1439,29,-1
1392,17,-1
1428,7,-1
1440,5,-1
1084,6,-1
20,315,1
559,1760,1
20,107,-1
1432,36689,-1
1440,51,-1
20,15,1
1365,53,-1
1440,12,-1
20,10,1
1432,7,-1
20,7,1
1440,28,-1
1440,6,-1
20,5,1
1440,18,-1
1043,6,-1
20,5,1
1440,29,-1
1440,8,-1
20,7,1
1440,27,-1
1440,7,-1
1236,4,-1
1075,5,-1
1436,4,-1
1440,4,-1
1401,4,-1
1435,4,-1
1440,4,-1
1430,3,-1
1177,5,-1
1427,4,-1
1427,3,-1
1421,41557,-1
1102,64,-1
20,17,1
1480,9883,1
64,141,1
20,106,-1
1436,26723,-1
45,37,-1
20,10,1
554,704,1
20,265,-1
1480,1953,1
1480,178,1
20,209,1
20,214,-1
550,221,1
20,17,-1
554,143,1
20,183,-1
1357,262,1
20,134,-1
562,142,1
20,130,-1
1308,3953,-1
1434,36,-1
1433,6,-1
20,5,1
1440,28,-1
1439,6,-1
20,4,1
1440,26,-1
1439,6,-1
20,5,1
1438,14,-1
1081,5,-1
20,4,1
1033,16,-1
1395,4,-1
20,3,1
1440,627,-1
1439,8,-1
20,6,1
1440,27,-1
1434,5,-1
20,4,1
1436,20,-1
1440,6,-1
1303,4,-1
1440,6,-1
1440,5,-1
1440,3,-1
719,4,-1
20,13,-1
1440,18,-1
1425,7,-1
20,7,1
1440,34,-1
1437,9,-1
20,9,1
1440,36,-1
1434,11,-1
1440,5,-1
1137,4,-1
1440,4,-1
1440,5,-1
1047,5,-1
1440,4,-1
1289,4,-1
20,284,1
570,3526,1
20,131,-1
544,1328,1
1286,48,-1
20,299,1
1440,1097,-1
1427,19,-1
20,14,1
1426,82,-1
1407,14,-1
20,14,1
1440,54,-1
1436,15,-1
1383,9,-1
1421,10,-1
1365,20,-1
20,314,1
1063,63,-1
1363,10,-1
20,425,1
556,17996,1
20,142,-1
1219,43157,-1
571,2879,1
20,148,-1
570,1033,1
20,92,-1
20,41,1
1440,79,-1
1440,9,-1
20,6,1
1328,20,-1
1440,5,-1
20,4,1
1440,15,-1
1406,4,-1
20,4,1
1133,13,-1
1440,5,-1
20,5,1
1440,22,-1
1041,7,-1
20,7,1
1440,487,-1
1364,10,-1
20,7,1
1440,24068,-1
1440,25,-1
20,11,1
1165,32,-1
1440,508,-1
20,12,1
1435,48,-1
1440,16,-1
20,10,1
1436,43,-1
1440,11,-1
20,9,1
1067,33,-1
1437,13,-1
20,11,1
1440,50,-1
1440,10,-1
20,8,1
1440,29,-1
1356,9,-1
1307,6,-1
20,315,1
1440,1001,-1
1436,16,-1
20,8,1
1424,31,-1
1435,12,-1
20,9,1
1440,51,-1
1435,10,-1
20,8,1
1440,33,-1
1439,9,-1
20,7,1
1426,35,-1
1429,10,-1
20,8,1
1439,34,-1
1440,10,-1
20,8,1
1438,32,-1
1428,9,-1
1433,6,-1
1440,4,-1
1092,5,-1
1415,4,-1
1353,4,-1
20,279,1
567,2365,1
20,103,-1
558,2985,1
20,123,-1
1395,12393,-1
1440,26,-1
1438,7,-1
20,6,1
1440,24,-1
1438,8,-1
20,6,1
1440,23,-1
1440,7,-1
979,5,-1
20,306,1
555,4494,1
20,137,-1
1440,3633,-1
1440,13,-1
20,7,1
1440,24,-1
1076,6,-1
20,4,1
1440,15,-1
1440,5,-1
20,4,1
1440,14,-1
1243,4,-1
20,5,1
1440,40,-1
780,8,-1
20,6,1
1440,26,-1
1440,8,-1
1411,5,-1
1050,4,-1
1440,4,-1
1440,5,-1
1070,6,-1
20,99,1
568,589,1
20,136,-1
560,2316,1
20,191,-1
1440,7367,-1
1440,21,-1
20,10,1
1440,29,-1
1439,7,-1
20,6,1
1438,28,-1
1440,7,-1
20,6,1
1434,27,-1
1336,9,-1
20,6,1
1440,7406,-1
1440,28,-1
20,13,1
1306,43,-1
1433,25102,-1
20,47,1
1437,59,-1
1440,14,-1
20,11,1
1440,38,-1
1440,10,-1
20,9,1
1034,38,-1
752,14,-1
1440,8,-1
1428,6,-1
1316,5,-1
20,293,1
561,4955,1
20,157,-1
1423,27217,-1
1218,5,-1
20,9,1
1213,7960,-1
20,39447,1
1313,31592,-1
20,466,1
562,1545,1
20,253,-1
1440,45798,-1
1435,37,-1
20,13,1
1267,46,-1
521,2571,1
20,99,-1
293,60983,-1
1428,1787,-1
20,63,1
1361,72,-1
563,973,1
20,167,-1
1435,1996,-1
1435,20,-1
20,14,1
1202,44,-1
1437,10,-1
20,8,1
1440,26,-1
1434,8,-1
20,6,1
1440,36,-1
1431,9,-1
20,7,1
1438,31,-1
900,11,-1
20,10,1
1358,40505,-1
1440,574,-1
20,22,1
1440,55,-1
1381,10,-1
20,8,1
1440,192,-1
1438,15,-1
20,11,1
1211,33,-1
1440,340,-1
20,16,1
1405,36,-1
1440,13,-1
1082,9,-1
1181,6,-1
1440,308,-1
1432,15,-1
1440,8,-1
1438,7,-1
1429,8,-1
1436,7,-1
1440,6,-1
987,5,-1
1440,5,-1
1435,7,-1
1317,6,-1
20,257,1
564,1407,1
20,84,-1
559,5156,1
20,116,-1
1440,3812,-1
1430,14,-1
20,8,1
1437,33,-1
1440,7,-1
1480,451,1
154,97,1
20,81,-1
1388,27979,-1
1440,207,-1
20,22,1
1247,47,-1
569,2616,1
20,70,-1
562,443,1
20,161,-1
1440,1194,-1
1245,16,-1
20,9,1
1440,9012,-1
1440,30,-1
20,16,1
1427,56,-1
1220,16,-1
20,10,1
1440,4068,-1
1440,19,-1
20,13,1
1197,51,-1
1440,55456,-1
1413,37,-1
20,13,1
1377,44,-1
1420,12,-1
20,10,1
1023,35,-1
1362,409,-1
20,15,1
1335,1289,-1
566,4050,1
20,186,-1
564,4157,1
20,153,-1
1429,51758,-1
1321,74,-1
20,18,1
564,9920,1
20,181,-1
1225,224,1
20,140,-1
1433,1339,-1
1429,26,-1
20,17,1
1077,10,-1
20,6,1
1436,26,-1
1440,6,-1
20,5,1
1431,21,-1
1437,5,-1
20,4,1
1440,19,-1
1440,8,-1
20,5,1
897,26,-1
567,302,1
20,15,-1
1425,25224,-1
1440,68,-1
20,17,1
1440,47,-1
1367,10,-1
20,7,1
1440,24,-1
1425,10,-1
20,8,1
1428,41,-1
1440,56,-1
1440,10,-1
20,7,1
1438,31,-1
1440,10,-1
20,7,1
1372,37,-1
1440,12,-1
20,9,1
1440,28,-1
1153,7,-1
20,5,1
564,1754,1
20,192,-1
1432,13399,-1
1440,43,-1
20,22,1
1440,60,-1
1440,16,-1
20,8,1
882,38,-1
1438,11,-1
20,7,1
1440,28,-1
1333,12,-1
20,8,1
572,693,1
20,124,-1
1440,762,-1
1151,10,-1
20,6,1
1438,812,-1
1374,11,-1
20,7,1
1436,367,-1
1169,11,-1
20,6,1
561,7582,1
20,207,-1
1435,11203,-1
1435,39,-1
20,16,1
1434,59,-1
1438,9,-1
20,8,1
1440,36,-1
1321,8,-1
20,6,1
1440,33,-1
1412,7,-1
20,6,1
1440,33,-1
1440,10,-1
20,7,1
1435,30,-1
1440,9,-1
20,8,1
1030,39,-1
1365,13,-1
20,319,1
562,2052,1
20,60,-1
1435,39924,-1
1434,41,-1
20,14,1
1440,43,-1
1359,9,-1
20,8,1
1440,36,-1
1439,11,-1
20,7,1
1364,36,-1
20,7,1
1285,19,-1
563,609,1
20,138,-1
1440,5412,-1
1439,20,-1
20,8,1
1082,33,-1
561,429,1
20,126,-1
1439,34621,-1
1431,26,-1
20,12,1
1439,32,-1
1434,7,-1
20,5,1
1062,23,-1
564,1188,1
20,152,-1
1372,20331,-1
1433,744,-1
20,28,1
1430,53,-1
1333,15,-1
1437,14,-1
20,7,1
1171,28,-1
1439,480,-1
20,14,1
1440,37,-1
1305,10,-1
20,9,1
564,2854,1
20,135,-1
1438,21662,-1
1421,41,-1
20,14,1
1140,45,-1
1319,10,-1
20,9,1
1439,1577,-1
1440,17,-1
20,12,1
1130,36,-1
1440,9,-1
20,6,1
1254,41,-1
1440,21366,-1
20,130,-1
564,5057,1
20,179,-1
1440,4414,-1
1423,18,-1
20,14,1
1154,48,-1
1387,1333,-1
20,23,1
1376,2674,-1
1437,276,-1
20,20,1
1438,60,-1
1230,11,-1
20,9,1
1375,353,-1
1440,299,-1
20,19,1
1422,43,-1
1427,10,-1
20,7,1
1429,29,-1
1418,12,-1
20,7,1
1440,40,-1
1440,7,-1
20,4,1
1409,16,-1
1363,5,-1
20,3,1
566,895,1
20,99,-1
1440,3743,-1
1432,13,-1
20,12,1
1440,41,-1
1044,11,-1
20,10,1
1440,63,-1
1201,9,-1
20,5,1
1440,1794,-1
1440,13,-1
20,7,1
1100,29,-1
1440,1669,-1
20,22,1
1427,59,-1
20,1093,-1
566,9787,1
20,205,-1
1434,32168,-1
1439,49,-1
20,18,1
1425,45,-1
1440,9,-1
20,8,1
1437,35,-1
1373,10,-1
20,9,1
1440,26,-1
1437,8,-1
20,9,1
1440,29,-1
1440,8,-1
1435,4,-1
1440,4,-1
712,6,-1
1440,5,-1
1170,4,-1
1440,5,-1
1268,4,-1
1099,5,-1
1353,3,-1
20,3,1
566,1335,1
20,175,-1
568,1592,1
20,108,-1
1327,1557,-1
1440,8164,-1
20,20,1
1439,41,-1
1440,10,-1
20,7,1
1440,26,-1
1008,6,-1
20,5,1
1440,15214,-1
1440,28,-1
20,13,1
1440,38,-1
1103,12,-1
20,8,1
1436,31565,-1
1428,45,-1
1433,9,-1
20,9,1
1440,39,-1
1002,11,-1
20,7,1
570,631,1
20,106,-1
1440,1874,-1
1439,16,-1
20,11,1
1440,43,-1
1416,13,-1
20,11,1
1440,43,-1
1293,11,-1
20,12,1
1440,1629,-1
1440,15,-1
20,10,1
1440,38,-1
1076,10,-1
20,7,1
1440,30,-1
1399,9,-1
1428,6521,-1
20,52,1
1440,70,-1
1430,12,-1
20,9,1
1430,37,-1
1432,10,-1
20,8,1
1434,38,-1
1440,13,-1
20,10,1
1439,45,-1
1435,11,-1
20,9,1
1405,45,-1
1435,13,-1
20,9,1
1439,52,-1
1440,10,-1
20,7,1
841,36,-1
1437,372,-1
1402,10,-1
1418,5,-1
1206,6,-1
20,6,1
1440,3152,-1
1429,23,-1
20,16,1
1440,70,-1
1186,15,-1
20,13,1
1440,50,-1
1247,11,-1
20,10,1
1440,39,-1
1438,11,-1
1437,6,-1
1435,7,-1
1433,7,-1
1420,7,-1
1410,6,-1
1426,5,-1
1012,5,-1
32,608,1
560,4053,1
20,129,-1
593,3544,1
1433,816,-1
20,16,1
1284,50,-1
1440,645,-1
20,18,1
1428,51,-1
1258,15,-1
20,13,1
1301,2032,-1
1435,7416,-1
20,31,1
1318,57,-1
1432,3209,-1
20,33,1
1440,65,-1
1235,16,-1
20,7,1
564,2451,1
20,124,-1
1440,7526,-1
1050,23,-1
20,7,1
583,474,1
20,160,-1
1440,18,-1
20,15,1
950,42,-1
1436,27,-1
20,11,1
1440,36,-1
1434,10,-1
20,8,1
1440,51,-1
1089,10,-1
20,8,1
1440,34,-1
1439,8,-1
20,7,1
1440,28,-1
1440,6,-1
20,6,1
1440,18,-1
1437,7,-1
1433,4,-1
1426,3,-1
1084,4,-1
1431,3,-1
1423,3,-1
1440,15,-1
20,10,1
841,36,-1
569,771,1
20,144,-1
565,4600,1
20,159,-1
1431,52635,-1
1438,59,-1
20,17,1
1432,53,-1
1440,11,-1
20,10,1
1439,46,-1
1028,15,-1
20,14,1
1440,44,-1
1440,12,-1
20,9,1
1433,41,-1
1440,9,-1
20,9,1
1435,32,-1
1425,9,-1
1423,3,-1
1396,4,-1
1364,3,-1
20,4,1
20,336,1
1432,336,-1
20,15,1
1369,63,-1
559,800,1
20,3,-1
1440,231,-1
1434,11,-1
20,7,1
1436,25,-1
1404,8,-1
20,5,1
1187,26,-1
1440,272,-1
20,10,1
1439,22,-1
1209,7,-1
20,6,1
1434,15317,-1
1295,36,-1
20,19,1
1436,46,-1
1411,10,-1
20,7,1
1437,41,-1
1432,11,-1
20,9,1
1014,38,-1
570,1877,1
20,104,-1
562,3660,1
20,75,-1
1336,18705,-1
1440,1839,-1
20,26,1
1439,50,-1
1182,11,-1
20,7,1
1440,2677,-1
1301,19,-1
20,9,1
1234,50,-1
1440,10151,-1
20,35,1
1419,23,-1
1348,5,-1
20,3,1
574,879,1
20,71,-1
1440,1833,-1
1428,13,-1
20,8,1
1437,30,-1
1423,8,-1
20,8,1
1440,52,-1
1440,12,-1
20,9,1
1438,32,-1
1435,8,-1
20,9,1
1440,36,-1
929,13,-1
20,9,1
1437,253,-1
1440,24,-1
20,10,1
1288,38,-1
20,16,1
1440,142,-1
1440,13,-1
20,9,1
1407,39,-1
1440,10,-1
20,9,1
1440,45,-1
978,10,-1
20,18,1
1435,52,-1
1391,16,-1
20,284,1
1440,95,-1
1440,13,-1
1440,5,-1
987,6,-1
1440,5,-1
1439,5,-1
1433,4,-1
1388,4,-1
1439,4,-1
1436,4,-1
1206,4,-1
1427,12056,-1
20,61,1
1438,62,-1
1438,14,-1
20,11,1
1439,48,-1
1407,12,-1
20,12,1
1440,148,-1
1440,19,-1
20,13,1
1440,45,-1
921,14,-1
20,10,1
1440,2499,-1
1440,21,-1
20,12,1
1216,40,-1
1434,702,-1
20,26,1
1440,70,-1
1235,15,-1
20,14,1
1411,45,-1
1440,7821,-1
20,30,1
1440,34,-1
1238,7,-1
20,5,1
1440,9178,-1
1440,23,-1
20,11,1
1193,31,-1
1434,22377,-1
20,47,1
1440,47,-1
1433,8,-1
20,5,1
1435,19,-1
1125,6,-1
20,5,1
1440,401,-1
1439,9,-1
20,5,1
1434,21,-1
1148,6,-1
20,5,1
1437,277,-1
20,424,-1
557,1081,1
20,114,-1
558,259,1
20,118,-1
1480,791,1
1347,115,1
20,88,-1
562,45898,-1
69,7446,-1
555,326,1
20,105,-1
557,169,1
20,68,-1
1226,248,1
20,96,-1
1480,317,1
58,57,1
20,20,1
1480,265,1
90,99,1
20,57,-1
1342,54040,-1
1318,919,-1
1436,17,-1
1249,10,-1
1298,8,-1
20,511,1
562,1140,1
20,162,-1
1437,64531,-1
1440,46,-1
20,17,1
1121,49,-1
1440,11,-1
20,11,1
1028,44,-1
1436,235,-1
20,16,1
1434,39,-1
1440,10,-1
20,8,1
1358,36,-1
20,560,1
1432,32143,-1
1438,31,-1
20,13,1
1181,47,-1
1440,192,-1
20,14,1
1440,41,-1
1285,10,-1
20,6,1
1338,28,-1
20,330,1
568,1486,1
20,177,-1
403,51728,-1
20,37368,1
1440,59839,-1
1430,50,-1
20,16,1
1091,40,-1
1440,11,-1
20,8,1
1439,40,-1
1438,9,-1
20,6,1
1434,31,-1
1434,8,-1
20,6,1
1154,30,-1
20,10,1
1440,32,-1
1119,9,-1
20,6,1
569,837,1
20,109,-1
1440,10947,-1
1438,26,-1
20,11,1
1399,36,-1
1440,10,-1
20,9,1
1440,30,-1
1292,9,-1
20,6,1
565,1107,1
20,84,-1
1440,16474,-1
1435,27,-1
20,11,1
1440,42,-1
854,13,-1
20,10,1
1440,63,-1
20,89,-1
1440,936,-1
1438,17,-1
20,10,1
1440,38,-1
1439,10,-1
20,8,1
1382,32,-1
1440,7,-1
20,6,1
1440,20,-1
1374,7,-1
20,8,1
1440,31,-1
1440,9,-1
20,7,1
1440,22,-1
1419,8,-1
1431,4,-1
1433,3,-1
1440,4,-1
1214,4,-1
1026,4,-1
1440,4,-1
1435,21,-1
1439,4,-1
1433,2,-1
1430,2,-1
1411,2,-1
1428,2,-1
1434,3,-1
1434,2,-1
676,4,-1
1440,4,-1
1283,2,-1
20,270,1
557,659,1
20,110,-1
1428,38224,-1
1430,60,-1
20,16,1
1435,86,-1
1420,16,-1
20,9,1
1401,43,-1
1347,14,-1
20,10,1
1427,35,-1
20,6,1
1440,22,-1
1440,5,-1
20,4,1
1440,17,-1
1436,5,-1
20,4,1
1438,17,-1
1038,5,-1
20,4,1
985,29,-1
1440,8,-1
20,6,1
1358,16,-1
1440,741,-1
20,16,1
1440,27,-1
1430,8,-1
20,6,1
1440,27,-1
1440,11,-1
20,7,1
1007,39,-1
547,1407,1
1438,38367,-1
1440,48,-1
20,12,1
1236,36,-1
1440,8,-1
20,6,1
1440,26,-1
1440,6,-1
20,6,1
971,27,-1
1440,851,-1
20,18,1
1440,36,-1
1438,9,-1
20,6,1
1440,34,-1
1435,8,-1
20,6,1
1077,27,-1
1365,12,-1
20,278,1
563,1623,1
20,95,-1
1424,16565,-1
20,7,1
566,938,1
20,160,-1
564,298,1
20,166,-1
1352,22003,-1
1152,14707,-1
20,35,1
1317,56335,-1
540,41682,1
20,224,-1
565,565,1
20,247,-1
566,223,1
20,103,-1
561,345,1
20,79,-1
1420,60050,-1
1293,55,-1
20,15,1
569,7485,1
20,132,-1
569,328,1
20,90,1
20,5,1
1440,28,-1
1411,8,-1
20,6,1
1440,27,-1
953,11,-1
20,7,1
565,1649,1
20,128,-1
1434,14778,-1
1440,42,-1
20,14,1
1063,38,-1
1440,563,-1
20,12,1
1428,28,-1
1440,7,-1
20,7,1
1440,32,-1
1440,8,-1
20,7,1
1440,31,-1
1108,12,-1
20,11,1
1383,7,-1
20,7,1
1291,22,-1
39,44219,1
1439,3847,-1
20,34,1
1438,48,-1
1284,11,-1
20,9,1
1440,3245,-1
1373,23,-1
20,13,1
1066,38,-1
1437,200,-1
20,19,1
1324,37,-1
1435,1541,-1
20,19,1
1440,47,-1
1242,11,-1
20,9,1
1429,36,-1
1430,8,-1
20,7,1
1438,40,-1
1309,7,-1
20,6,1
1301,32,-1
566,1187,1
20,95,-1
559,660,1
20,137,-1
1436,8896,-1
1337,28,-1
20,14,1
1362,694,-1
1327,721,-1
20,15,1
1433,2193,-1
1408,26,-1
20,13,1
1322,46,-1
1436,1097,-1
20,18,1
1309,40,-1
1438,733,-1
20,14,1
1394,31,-1
1440,13,-1
1429,3,-1
20,3,1
1166,15,-1
1042,11297,1
20,82,-1
1432,37362,-1
1440,31,-1
20,11,1
1270,28,-1
1435,5,-1
20,5,1
1440,20,-1
1432,6,-1
20,5,1
1440,17,-1
1202,5,-1
20,5,1
563,683,1
20,172,-1
1437,16459,-1
1421,34,-1
20,11,1
1284,32,-1
1440,151,-1
1376,10,-1
20,8,1
1440,32,-1
939,8,-1
20,11,1
1440,65,-1
1435,13,-1
20,9,1
1440,28,-1
1429,7,-1
20,7,1
1436,28,-1
1415,8,-1
20,5,1
1284,20,-1
1438,9529,-1
20,18,1
1301,27,-1
574,806,1
20,128,-1
959,586,1
20,99,-1
1403,2907,-1
1334,18,-1
1368,10,-1
20,9,1
1440,2284,-1
1440,16,-1
20,9,1
1405,45,-1
1412,14,-1
1008,9,-1
544,261,1
20,188,-1
1432,12999,-1
1440,39,-1
20,15,1
1184,66,-1
1440,14,-1
20,8,1
1438,42,-1
1440,13,-1
20,9,1
1376,39,-1
1437,13,-1
20,7,1
1405,41,-1
20,5,1
1440,19,-1
1383,5,-1
20,4,1
1440,837,-1
1439,9,-1
20,6,1
1440,22,-1
1437,8,-1
20,6,1
1440,21,-1
1440,8,-1
1077,5,-1
1440,5,-1
1440,4,-1
1192,3,-1
1439,3,-1
1440,3,-1
1440,3,-1
1076,4,-1
1440,5,-1
1428,5,-1
1343,3,-1
20,286,1
1431,3,-1
1357,3,-1
1423,3,-1
1423,3,-1
1389,2,-1
960,2,-1
1325,3,-1
455,405,1
20,237,-1
565,1297,1
20,171,-1
349,49005,-1
546,407,1
20,140,-1
1129,1987,1
20,185,-1
1426,694,1
250,241,1
20,114,-1
532,216,1
20,199,-1
1246,539,1
20,178,-1
472,247,1
20,13,1
1439,68,-1
1156,9,-1
20,330,1
1440,2746,-1
1440,20,-1
20,12,1
1439,45,-1
1440,14,-1
20,14,1
989,50,-1
1440,17,-1
20,12,1
1437,49,-1
1402,15,-1
20,12,1
1440,222,-1
1439,15,-1
20,11,1
1440,47,-1
1440,14,-1
1371,9,-1
1429,8,-1
1365,7,-1
1363,28,-1
20,17,1
1440,42,-1
1287,12,-1
20,7,1
1440,3289,-1
1440,18,-1
20,11,1
1027,31,-1
1438,1172,-1
20,20,1
1440,53,-1
1428,11,-1
20,9,1
1216,39,-1
1437,546,-1
20,20,1
1440,33,-1
1435,9,-1
20,7,1
1060,28,-1
20,3589,-1
354,13506,-1
463,1867,1
20,56,-1
1437,36901,-1
1434,47,-1
20,17,1
1432,94,-1
1440,12,-1
20,9,1
1440,34,-1
1048,11,-1
20,126,1
1440,1927,-1
1430,15,-1
20,11,1
1440,74,-1
1440,11,-1
20,9,1
1440,30,-1
1440,9,-1
20,7,1
