,pkg_len,pkg_iat,pkt_dir
380,1440,8819,-1
381,1436,23,-1
382,20,16,1
383,703,56,-1
384,20,10,1
385,1440,14364,-1
386,1440,33,-1
387,20,15,1
388,1435,45,-1
389,1209,14,-1
390,20,10,1
391,1440,89,-1
392,1438,15,-1
393,20,13,1
394,1440,42,-1
395,1023,15,-1
396,20,12,1
397,1433,44712,-1
398,1440,53,-1
399,20,19,1
400,1440,57,-1
401,1440,13,-1
402,20,8,1
403,1134,38,-1
404,1440,12,-1
405,20,9,1
406,1440,37,-1
407,1036,12,-1
408,20,307,-1
409,560,5071,1
410,20,187,-1
411,1440,51856,-1
412,1342,40,-1
413,20,13,1
414,1119,50,-1
415,1436,11428,-1
416,20,34,1
417,1440,66,-1
418,1307,9,-1
419,20,7,1
420,1438,36175,-1
421,1434,28,-1
422,20,8,1
423,1247,29,-1
424,1440,532,-1
425,20,13,1
426,1434,21,-1
427,1429,5,-1
428,20,4,1
429,1069,15,-1
430,1431,14624,-1
431,20,33,1
432,1440,35,-1
433,1150,6,-1
434,20,7,1
435,1440,24,-1
436,1429,8,-1
437,1220,4,-1
438,20,190,1
439,561,1933,1
440,20,146,-1
441,1430,35046,-1
442,1440,54,-1
443,20,15,1
444,1344,48,-1
445,1440,272,-1
446,20,19,1
447,1423,32,-1
448,1440,8,-1
449,20,6,1
450,1427,26,-1
451,1437,9,-1
452,20,8,1
453,1127,33,-1
454,1440,11,-1
455,20,7,1
456,1437,53,-1
457,1369,9,-1
458,20,7,1
459,1427,25,-1
460,1418,6,-1
461,20,5,1
462,1297,19,-1
463,1434,18547,-1
464,20,46,1
465,1440,45,-1
466,1084,11,-1
467,20,8,1
468,564,882,1
469,20,95,-1
470,1357,6448,-1
471,1440,665,-1
472,20,26,1
473,1427,35,-1
474,1391,6,-1
475,20,4,1
476,1283,24,-1
477,1428,17235,-1
478,20,42,1
479,1436,40,-1
480,1341,13,-1
481,20,268,1
482,1332,78,-1
483,566,1920,1
484,20,80,-1
485,1363,10512,-1
486,1440,663,-1
487,20,27,1
488,1440,61,-1
489,1368,10,-1
490,20,7,1
491,1438,33,-1
492,1425,8,-1
493,20,5,1
494,1440,13,-1
495,1402,6,-1
496,1431,3,-1
497,593,3,-1
498,1426,173,-1
499,1305,18,-1
500,20,396,1
501,564,1828,1
502,20,176,-1
503,1416,504,-1
504,20,25,-1
505,1422,58034,-1
506,1440,54,-1
507,20,15,1
508,1346,33,-1
509,1440,8,-1
510,20,7,1
511,1440,23,-1
512,1048,6,-1
513,20,4,1
514,1440,20,-1
515,1440,7,-1
516,20,5,1
517,1440,19,-1
518,1061,6,-1
519,20,5,1
520,1440,18,-1
521,1440,6,-1
522,20,4,1
523,1440,19,-1
524,1440,6,-1
525,20,7,1
526,1440,24,-1
527,842,9,-1
528,1294,92,-1
529,1372,3909,-1
530,20,17,1
531,1439,675,-1
532,1205,16,-1
533,20,9,1
534,1430,16930,-1
535,1303,21,-1
536,20,9,1
537,562,557,1
538,20,138,-1
539,326,49050,-1
540,562,22496,1
541,20,203,-1
542,1342,43012,-1
543,561,2041,1
544,20,230,-1
545,923,42650,-1
546,1440,4504,-1
547,20,24,1
548,1230,55,-1
549,811,20367,-1
550,20,30,1
551,1396,38066,-1
552,20,38,1
553,1437,181,-1
554,1434,17,-1
555,20,11,1
556,1438,39,-1
557,1275,11,-1
558,20,11,1
559,1438,82,-1
560,1432,11,-1
561,20,9,1
562,1205,33,-1
563,20,39308,1
564,498,39910,-1
565,1423,16000,-1
566,20,36,1
567,1440,67,-1
568,1440,11,-1
569,20,8,1
570,1102,33,-1
571,20,18,1
572,1433,1333,-1
573,1435,14,-1
574,20,8,1
575,1383,38,-1
576,1429,5,-1
577,1440,4,-1
578,1143,3,-1
579,1420,3,-1
580,1294,4,-1
581,20,319,1
582,563,4018,1
583,20,173,-1
584,1432,14157,-1
585,1440,43,-1
586,20,19,1
587,1438,41,-1
588,1031,8,-1
589,20,6,1
590,1438,25,-1
591,1083,7,-1
592,20,6,1
593,1440,25,-1
594,1440,5,-1
595,20,5,1
596,1440,20,-1
597,1437,6,-1
598,20,5,1
599,1440,30,-1
600,20,11,1
601,1439,49,-1
602,937,12,-1
603,20,9,1
604,1440,49,-1
605,1221,11,-1
606,20,10,1
607,1440,35,-1
608,1440,9,-1
609,20,6,1
610,1439,29,-1
611,1440,9,-1
612,20,10,1
613,1440,33,-1
614,1440,9,-1
615,1393,5,-1
616,1438,6,-1
617,1003,7,-1
618,20,438,1
619,565,3772,1
620,20,233,-1
621,564,5275,1
622,20,175,-1
623,1425,1973,-1
624,20,156,-1
625,1438,48353,-1
626,1440,39,-1
627,20,16,1
628,1440,60,-1
629,1436,11,-1
630,20,11,1
631,1438,42,-1
632,1440,13,-1
633,20,9,1
634,1094,32,-1
635,1252,10,-1
636,20,439,1
637,564,2799,1
638,20,144,-1
639,1440,3464,-1
640,1440,23,-1
641,20,9,1
642,1197,39,-1
643,1440,8,-1
644,20,8,1
645,1435,36,-1
646,1440,9,-1
647,20,7,1
648,1440,24,-1
649,1440,7,-1
650,20,4,1
651,954,19,-1
652,1435,8,-1
653,20,4,1
654,1440,12,-1
655,1398,3,-1
656,20,2,1
657,554,348,1
658,86,38,-1
659,1440,2,-1
660,1430,1,-1
661,20,2,1
662,1440,13,-1
663,1409,5,-1
664,20,4,1
665,1440,294,-1
666,1435,9,-1
667,20,7,1
668,1440,32,-1
669,1381,8,-1
670,20,7,1
671,1415,27,-1
672,1323,50,-1
673,567,466,1
674,20,87,-1
675,1433,15202,-1
676,1440,44,-1
677,20,16,1
678,912,39,-1
679,1440,14171,-1
680,20,44,1
681,1440,48,-1
682,1247,10,-1
683,20,8,1
684,1323,4078,-1
685,1440,2103,-1
686,20,21,1
687,1440,42,-1
688,1193,10,-1
689,20,8,1
690,1440,37,-1
691,1440,7,-1
692,20,6,1
693,1439,22,-1
694,1247,7,-1
695,20,5,1
696,1440,15,-1
697,20,10,1
698,1263,29,-1
699,1440,8,-1
700,20,6,1
701,1438,22,-1
702,803,7,-1
703,20,6,1
704,1440,23,-1
705,1436,8,-1
706,20,7,1
707,1440,73,-1
708,1439,7,-1
709,20,7,1
710,1440,31,-1
711,1440,9,-1
712,20,7,1
713,1440,31,-1
714,1440,7,-1
715,1439,4,-1
716,1259,4,-1
717,1440,4,-1
718,1037,4,-1
719,1440,4,-1
720,1440,42,-1
721,1438,9,-1
722,20,8,1
723,1048,31,-1
724,568,937,1
725,20,136,-1
726,1436,50372,-1
727,1053,39,-1
728,20,19,1
729,1438,41140,-1
730,1436,36,-1
731,20,16,1
732,1435,48,-1
733,1434,13,-1
734,20,9,1
735,1329,35,-1
736,1390,284,-1
737,20,18,1
738,564,799,1
739,20,119,-1
740,1440,2536,-1
741,1440,17,-1
742,20,10,1
743,878,46,-1
744,1438,2723,-1
745,1440,19,-1
746,20,10,1
747,1176,40,-1
748,565,610,1
749,20,155,-1
750,1335,31115,-1
751,569,3924,1
752,20,249,-1
753,233,53799,-1
754,1395,32615,-1
755,20,52,1
756,1440,556,-1
757,1196,18,-1
758,20,10,1
759,1439,3162,-1
760,1440,21,-1
761,20,11,1
762,1236,39,-1
763,1440,601,-1
764,20,21,1
765,1440,46,-1
766,1180,16,-1
767,20,11,1
768,1440,422,-1
769,1140,11,-1
770,20,8,1
771,1440,28,-1
772,1305,9,-1
773,20,248,1
774,1440,4245,-1
775,1435,11,-1
776,20,6,1
777,1440,19,-1
778,1440,5,-1
779,20,4,1
780,1440,20,-1
781,1440,9,-1
782,20,5,1
783,1093,23,-1
784,1440,5,-1
785,20,4,1
786,1440,16,-1
787,1440,6,-1
788,20,5,1
789,674,13,-1
790,576,659,1
791,20,82,-1
792,1429,8545,-1
793,20,36,1
794,1440,65,-1
795,1094,14,-1
796,20,8,1
797,1438,19520,-1
798,1433,38,-1
799,20,21,1
800,1437,62,-1
801,760,15,-1
802,20,11,1
803,1440,82,-1
804,1440,13,-1
805,20,10,1
806,1440,41,-1
807,1434,11,-1
808,20,11,1
809,1440,40,-1
810,1432,13,-1
811,20,13,1
812,1440,41,-1
813,1417,12,-1
814,20,11,1
815,1409,60,-1
816,1440,16,-1
817,927,7,-1
818,1438,9,-1
819,1347,7,-1
820,20,324,1
821,559,10457,1
822,20,165,-1
823,1358,1100,1
824,20,121,1
825,20,48,1
826,1440,1887,-1
827,1431,16,-1
828,20,9,1
829,1440,41,-1
830,1376,12,-1
831,20,8,1
832,1438,601,-1
833,1436,11,-1
834,20,9,1
835,1440,77,-1
836,1107,11,-1
837,1422,5,-1
838,1439,6,-1
839,1370,6,-1
840,1224,13,-1
841,20,11,1
842,1440,30004,-1
843,1394,28,-1
844,20,12,1
845,1286,46,-1
846,556,7265,-1
847,20,21,1
848,1440,12205,-1
849,1403,32,-1
850,20,14,1
851,1440,142,-1
852,1410,12,-1
853,20,10,1
854,1436,40,-1
855,1428,9,-1
856,1101,4,-1
857,20,256,1
858,562,1834,1
859,20,211,-1
860,1436,1771,-1
861,1305,18,-1
862,20,9,1
863,591,1503,1
864,1428,364,-1
865,20,16,1
866,1440,75,-1
867,1404,9,-1
868,20,7,1
869,1136,24,-1
870,564,836,1
871,20,163,-1
872,1429,45272,-1
873,1439,44,-1
874,20,14,1
875,1422,31,-1
876,1435,8,-1
877,20,7,1
878,1404,28,-1
879,1434,8,-1
880,20,8,1
881,1435,31,-1
882,1440,9,-1
883,20,8,1
884,805,31,-1
885,571,3968,1
886,20,144,-1
887,593,971,1
888,1434,5492,-1
889,1440,30,-1
890,20,12,1
891,1440,32,-1
892,1440,10,-1
893,20,7,1
894,1440,26,-1
895,1076,6,-1
896,20,5,1
897,1440,21,-1
898,1440,7,-1
899,20,5,1
900,1037,23,-1
901,1440,685,-1
902,20,10,1
903,1440,20,-1
904,1239,8,-1
905,20,6,1
906,566,1318,1
907,20,88,-1
908,1440,3466,-1
909,1069,20,-1
910,20,8,1
911,1440,39,-1
912,1440,75,-1
913,1440,10,-1
914,20,6,1
915,1438,26,-1
916,1410,9,-1
917,20,8,1
918,1435,33,-1
919,1433,8,-1
920,20,7,1
921,1426,27,-1
922,1356,9,-1
923,20,277,1
924,20,102,-1
925,565,429,1
926,20,109,-1
927,572,17665,-1
928,20,39165,1
929,1415,31953,-1
930,1432,147,-1
931,20,23,1
932,1438,53,-1
933,1261,16,-1
934,20,12,1
935,1434,57,-1
936,1105,7,-1
937,568,565,1
938,20,108,-1
939,1440,1005,-1
940,1440,9,-1
941,20,5,1
942,1361,22,-1
943,1440,5,-1
944,20,4,1
945,1069,13,-1
946,1437,18366,-1
947,20,43,1
948,1440,30,-1
949,1440,6,-1
950,20,4,1
951,1439,18,-1
952,1119,5,-1
953,20,6,1
954,1434,24,-1
955,1440,7,-1
956,20,6,1
957,1440,21,-1
958,1435,6,-1
959,20,6,1
960,1146,28,-1
961,602,778,-1
962,20,10,1
963,1440,241,-1
964,1353,15,-1
965,20,19,1
966,564,2756,1
967,20,62,-1
968,1433,31436,-1
969,1440,48,-1
970,20,19,1
971,1084,40,-1
972,1440,483,-1
973,20,16,1
974,1440,34,-1
975,1429,7,-1
976,20,6,1
977,1423,28,-1
978,1440,9,-1
979,20,9,1
980,1440,25,-1
981,1420,6,-1
982,20,5,1
983,1415,27,-1
984,20,254,-1
985,1353,6685,-1
986,1440,683,-1
987,20,26,1
988,1440,61,-1
989,1418,14,-1
990,20,9,1
991,1440,43,-1
992,1422,11,-1
993,20,7,1
994,1440,28,-1
995,1074,10,-1
996,20,7,1
997,1440,19,-1
998,1042,9,-1
999,20,6,1
1000,1440,1269,-1
1001,1434,16,-1
1002,20,10,1
1003,1440,38,-1
1004,1440,10,-1
1005,20,7,1
1006,1440,23,-1
1007,1342,7,-1
1008,20,7,1
1009,916,34,-1
1010,1440,698,-1
1011,20,17,1
1012,1440,54,-1
1013,1299,15,-1
1014,20,8,1
1015,1403,21683,-1
1016,1440,88,-1
1017,20,16,1
1018,1439,61,-1
1019,1439,10,-1
1020,20,6,1
1021,1084,23,-1
1022,1439,3924,-1
1023,20,18,1
1024,1440,41,-1
1025,1315,11,-1
1026,20,9,1
1027,566,843,1
1028,20,205,-1
1029,1439,2115,-1
1030,1404,19,-1
1031,20,10,1
1032,1426,60,-1
1033,20,15,1
1034,1439,45,-1
1035,1440,10,-1
1036,20,7,1
1037,1440,33,-1
1038,1431,7,-1
1039,20,6,1
1040,1440,29,-1
1041,1212,9,-1
1042,20,6,1
1043,1440,27,-1
1044,1075,10,-1
1045,20,5,1
1046,564,1177,1
1047,20,134,-1
1048,1412,14728,-1
1049,1435,110,-1
1050,20,23,1
1051,1440,83,-1
1052,1431,9,-1
1053,20,7,1
1054,965,29,-1
1055,536,601,1
1056,20,4,1
1057,1440,5006,-1
1058,1437,23,-1
1059,20,10,1
1060,1440,37,-1
1061,1293,10,-1
1062,20,9,1
1063,1440,35,-1
1064,959,6,-1
1065,20,5,1
1066,1440,23,-1
1067,1059,6,-1
1068,20,6,1
1069,1440,25,-1
1070,1436,7,-1
1071,20,6,1
1072,1440,20,-1
1073,1432,7,-1
1074,20,4,1
1075,1345,21,-1
1076,571,997,1
1077,20,141,-1
1078,567,4027,1
1079,20,225,-1
1080,20,14,1
1081,1438,86,-1
1082,1435,17,-1
1083,20,9,1
1084,1437,42,-1
1085,1428,15,-1
1086,20,9,1
1087,1273,42,-1
1088,1432,18280,-1
1089,20,49,1
1090,1275,48,-1
1091,1373,15644,-1
1092,20,39,1
1093,1439,4999,-1
1094,1428,35,-1
1095,20,19,1
1096,1440,53,-1
1097,1097,16,-1
1098,20,13,1
1099,1440,74,-1
1100,1407,15,-1
1101,20,13,1
1102,1440,39,-1
1103,1030,13,-1
1104,20,25,1
1105,1344,61,-1
1106,1438,2080,-1
1107,20,27,1
1108,1417,76,-1
1109,1412,12,-1
1110,20,9,1
1111,1286,45,-1
1112,1422,19836,-1
1113,20,61,1
1114,1440,76,-1
1115,1139,15,-1
1116,20,9,1
1117,1440,2786,-1
1118,1411,22,-1
1119,20,13,1
1120,1320,45,-1
1121,1423,26047,-1
1122,20,50,1
1123,1440,77,-1
1124,1102,17,-1
1125,20,17,1
1126,1399,646,-1
1127,1440,131,-1
1128,20,17,1
1129,1440,631,-1
1130,1440,12,-1
1131,20,7,1
1132,1060,31,-1
1133,1376,7,-1
1134,20,5,1
1135,1440,3496,-1
1136,1440,23,-1
1137,20,10,1
1138,1401,36,-1
1139,1440,14,-1
1140,20,9,1
1141,1436,35,-1
1142,1440,11,-1
1143,20,7,1
1144,1002,31,-1
1145,1440,10,-1
1146,20,8,1
1147,1429,38,-1
1148,1440,17,-1
1149,20,11,1
1150,1440,32,-1
1151,1420,10,-1
1152,1433,83,-1
1153,1414,11,-1
1154,20,10,1
1155,1437,77,-1
1156,1439,15,-1
1157,20,10,1
1158,1434,49,-1
1159,1394,15,-1
1160,20,12,1
1161,1434,56,-1
1162,1440,14,-1
1163,20,10,1
1164,1184,55,-1
1165,1437,13,-1
1166,20,11,1
1167,1435,54,-1
1168,1440,14,-1
1169,1418,8,-1
1170,1438,8,-1
1171,1440,7,-1
1172,1024,7,-1
1173,1433,8,-1
1174,1360,5,-1
1175,61,414,1
1176,20,5,1
1177,1438,22,-1
1178,1440,4,-1
1179,20,3,1
1180,1253,13,-1
1181,1440,1024,-1
1182,20,11,1
1183,1433,22,-1
1184,1431,4,-1
1185,20,4,1
1186,1433,21,-1
1187,1437,6,-1
1188,20,4,1
1189,1431,19,-1
1190,1437,8,-1
1191,20,5,1
1192,1438,36,-1
1193,1436,10,-1
1194,20,9,1
1195,1428,32,-1
1196,1092,11,-1
1197,20,391,1
1198,559,2647,1
1199,20,246,-1
1200,20,11,1
1201,1438,52,-1
1202,1028,11,-1
1203,20,9,1
1204,1440,37,-1
1205,1428,11,-1
1206,20,10,1
1207,1440,56,-1
1208,1438,12,-1
1209,20,9,1
1210,993,52,-1
1211,1440,10,-1
1212,20,6,1
1213,1440,23,-1
1214,1440,9,-1
1215,20,7,1
1216,1440,27,-1
1217,1440,7,-1
1218,20,5,1
1219,1435,18,-1
1220,1410,7,-1
1221,1383,5,-1
1222,1435,3,-1
1223,1399,3,-1
1224,20,306,-1
1225,557,7998,1
1226,20,213,-1
1227,1439,23590,-1
1228,1440,33,-1
1229,20,11,1
1230,1437,29,-1
1231,577,9,-1
1232,20,6,1
1233,1394,51183,-1
1234,1437,231,-1
1235,20,16,1
1236,1431,34,-1
1237,1440,6,-1
1238,20,5,1
1239,1438,20,-1
1240,1440,5,-1
1241,20,4,1
1242,1440,16,-1
1243,1437,5,-1
1244,20,5,1
1245,1439,24,-1
1246,1276,7,-1
1247,20,7,1
1248,1192,13,-1
1249,20,10,1
1250,1437,9814,-1
1251,1440,36,-1
1252,20,15,1
1253,1168,47,-1
1254,1440,1243,-1
1255,20,21,1
1256,1436,39,-1
1257,1421,10,-1
1258,20,10,1
1259,1150,32,-1
1260,1438,674,-1
1261,20,20,1
1262,1440,45,-1
1263,1061,12,-1
1264,20,9,1
1265,1433,1116,-1
1266,1436,14,-1
1267,20,10,1
1268,1312,31,-1
1269,1428,16037,-1
1270,20,34,1
1271,1440,40,-1
1272,549,336,1
1273,20,105,-1
1274,1435,14628,-1
1275,1440,20,-1
1276,20,7,1
1277,1440,15,-1
1278,1436,3,-1
1279,20,2,1
1280,1440,7,-1
1281,1439,1,-1
1282,20,2,1
1283,1434,7,-1
1284,1435,1,-1
1285,20,1,1
1286,1438,6,-1
1287,1354,2,-1
1288,20,2,1
1289,573,368,1
1290,20,88,-1
1291,1440,611,-1
1292,1440,6,-1
1293,20,2,1
1294,1434,17,-1
1295,1294,4,-1
1296,1427,22,-1
1297,1432,24,-1
1298,1429,10,-1
1299,1407,8,-1
1300,1147,6,-1
1301,20,246,1
1302,1366,37366,-1
1303,120,4632,1
1304,1363,129,-1
1305,20,74,1
1306,554,340,1
1307,20,152,-1
1308,1435,64531,-1
1309,1422,49,-1
1310,20,16,1
1311,1214,60,-1
1312,1440,5267,-1
1313,20,29,1
1314,1439,52,-1
1315,1433,9,-1
1316,20,8,1
1317,1308,29,-1
1318,1431,9,-1
1319,20,7,1
1320,1431,30770,-1
1321,1440,47,-1
1322,20,14,1
1323,1440,39,-1
1324,1125,11,-1
1325,20,6,1
1326,568,608,1
1327,20,76,-1
1328,1439,12564,-1
1329,1438,33,-1
1330,20,14,1
1331,1437,40,-1
1332,1318,12,-1
1333,20,9,1
1334,1440,38,-1
1335,1440,10,-1
1336,20,7,1
1337,1120,32,-1
1338,1439,9,-1
1339,20,6,1
1340,1436,19,-1
1341,1439,5,-1
1342,20,5,1
1343,1440,23,-1
1344,20,9,1
1345,1440,28,-1
1346,1433,5,-1
1347,20,4,1
1348,1440,23,-1
1349,1432,5,-1
1350,20,4,1
1351,1439,18,-1
1352,1440,7,-1
1353,20,5,1
1354,1439,17,-1
1355,1440,7,-1
1356,20,6,1
1357,879,22,-1
1358,1440,6,-1
1359,1333,6,-1
1360,20,246,1
1361,553,1408,1
1362,20,243,-1
1363,1389,5996,-1
1364,1440,411,-1
1365,20,20,1
1366,1440,70,-1
1367,1426,13,-1
1368,1438,15,-1
1369,20,9,1
1370,1215,30,-1
1371,1440,984,-1
1372,20,13,1
1373,1440,26,-1
1374,1139,11,-1
1375,20,9,1
1376,564,742,1
1377,20,104,-1
1378,1432,15778,-1
1379,1432,45,-1
1380,20,16,1
1381,1440,40,-1
1382,1203,10,-1
1383,20,7,1
1384,1440,31,-1
1385,1440,10,-1
1386,20,8,1
1387,938,31,-1
1388,1437,310,-1
1389,20,21,1
1390,1440,45,-1
1391,1380,10,-1
1392,1440,141,-1
1393,20,14,1
1394,1430,37,-1
1395,1437,10,-1
1396,20,8,1
1397,1440,30,-1
1398,937,9,-1
1399,20,8,1
1400,1440,24548,-1
1401,1432,24,-1
1402,20,10,1
1403,1440,30,-1
1404,1418,8,-1
1405,20,6,1
1406,1424,26,-1
1407,1440,7,-1
1408,20,6,1
1409,1426,24,-1
1410,1437,6,-1
1411,20,5,1
1412,1024,27,-1
1413,566,539,1
1414,20,93,-1
1415,1407,48493,-1
1416,1062,40,-1
1417,1438,7,-1
1418,20,5,1
1419,1440,27,-1
1420,1414,8,-1
1421,20,5,1
1422,1258,22,-1
1423,1440,4213,-1
1424,20,17,1
1425,1440,34,-1
1426,1234,8,-1
1427,20,7,1
1428,1439,26287,-1
1429,1440,31,-1
1430,20,11,1
1431,1068,34,-1
1432,1354,4939,-1
1433,20,20,1
1434,561,382,1
1435,20,90,-1
1436,1438,9442,-1
1437,1429,29,-1
1438,20,10,1
