,pkg_len,pkg_iat,pkt_dir
376,20,46089,1
377,1431,7291,-1
378,1427,44,-1
379,20,16,1
380,1440,46,-1
381,1426,11,-1
382,20,8,1
383,1425,42,-1
384,1345,5,-1
385,20,6,1
386,569,1115,1
387,20,168,-1
388,569,534,1
389,20,160,-1
390,1440,67,-1
391,1437,8,-1
392,20,6,1
393,1439,32,-1
394,1435,11,-1
395,20,8,1
396,1439,39,-1
397,945,10,-1
398,20,8,1
399,1440,30,-1
400,1440,7,-1
401,20,9,1
402,1440,34,-1
403,1440,10,-1
404,20,9,1
405,1412,30,-1
406,1440,9,-1
407,20,8,1
408,1375,27,-1
409,20,18,1
410,1438,41362,-1
411,1428,54,-1
412,20,32,1
413,1440,59,-1
414,982,14,-1
415,20,9,1
416,1440,930,-1
417,1416,20,-1
418,20,12,1
419,1440,41,-1
420,1316,12,-1
421,20,11,1
422,1439,1851,-1
423,1430,22,-1
424,20,15,1
425,1438,49,-1
426,1425,12,-1
427,20,10,1
428,1438,46,-1
429,1424,12,-1
430,20,8,1
431,1368,37,-1
432,1440,18,-1
433,1440,5,-1
434,20,3,1
435,1085,14,-1
436,563,1155,1
437,20,119,-1
438,1431,20547,-1
439,1440,32,-1
440,20,12,1
441,1440,35,-1
442,1440,7,-1
443,20,5,1
444,1438,20,-1
445,990,5,-1
446,20,3,1
447,1440,15,-1
448,1440,5,-1
449,20,4,1
450,1440,27,-1
451,1434,6,-1
452,20,5,1
453,1162,21,-1
454,1440,6,-1
455,20,5,1
456,1433,5,-1
457,1432,4,-1
458,1387,3,-1
459,1265,2,-1
460,85,114,1
461,20,63,-1
462,569,2110,1
463,20,59,-1
464,1351,8877,-1
465,1432,1044,-1
466,20,30,1
467,1440,77,-1
468,1433,7,-1
469,20,5,1
470,1290,25,-1
471,1440,1168,-1
472,20,18,1
473,1439,25,-1
474,1438,7,-1
475,20,5,1
476,1080,18,-1
477,1436,7,-1
478,20,5,1
479,1407,44,-1
480,20,10,1
481,1440,39,-1
482,1155,12,-1
483,20,11,1
484,1440,35,-1
485,1432,11,-1
486,20,9,1
487,1438,34,-1
488,1440,10,-1
489,20,8,1
490,1439,29,-1
491,1392,17,-1
492,1428,7,-1
493,1440,5,-1
494,1084,6,-1
495,20,315,1
496,559,1760,1
497,20,107,-1
498,1432,36692,-1
499,1440,51,-1
500,20,15,1
501,1365,53,-1
502,1440,12,-1
503,20,10,1
504,1432,7,-1
505,20,7,1
506,1440,28,-1
507,1440,6,-1
508,20,5,1
509,1440,18,-1
510,1043,6,-1
511,20,5,1
512,1440,29,-1
513,1440,8,-1
514,20,7,1
515,1440,27,-1
516,1440,7,-1
517,1236,4,-1
518,1075,5,-1
519,1436,4,-1
520,1440,4,-1
521,1401,4,-1
522,1435,4,-1
523,1440,4,-1
524,1430,3,-1
525,1177,5,-1
526,1427,4,-1
527,1427,3,-1
528,1421,41573,-1
529,1102,64,-1
530,20,17,1
531,1480,9883,1
532,64,141,1
533,20,105,-1
534,1436,26719,-1
535,20,37,-1
536,20,10,1
537,554,704,1
538,20,265,-1
539,1480,1954,1
540,1480,178,1
541,20,209,1
542,20,214,-1
543,550,221,1
544,20,17,-1
545,554,143,1
546,20,183,-1
547,1357,262,1
548,20,134,-1
549,562,142,1
550,20,130,-1
551,1308,3956,-1
552,1434,36,-1
553,1433,6,-1
554,20,5,1
555,1440,28,-1
556,1439,6,-1
557,20,4,1
558,1440,26,-1
559,1439,6,-1
560,20,5,1
561,1438,14,-1
562,1081,5,-1
563,20,4,1
564,1033,16,-1
565,1395,4,-1
566,20,3,1
567,1440,627,-1
568,1439,8,-1
569,20,6,1
570,1440,27,-1
571,1434,5,-1
572,20,4,1
573,1436,20,-1
574,1440,6,-1
575,1303,4,-1
576,1440,6,-1
577,1440,5,-1
578,1440,3,-1
579,719,4,-1
580,20,13,-1
581,1440,18,-1
582,1425,7,-1
583,20,7,1
584,1440,34,-1
585,1437,9,-1
586,20,9,1
587,1440,36,-1
588,1434,11,-1
589,1440,5,-1
590,1137,4,-1
591,1440,4,-1
592,1440,5,-1
593,1047,5,-1
594,1440,4,-1
595,1289,4,-1
596,20,284,1
597,570,3526,1
598,20,131,-1
599,544,1327,1
600,1286,48,-1
601,20,299,1
602,1440,1097,-1
603,1427,19,-1
604,20,14,1
605,1426,82,-1
606,1407,14,-1
607,20,14,1
608,1440,54,-1
609,1436,15,-1
610,1383,9,-1
611,1421,10,-1
612,1365,20,-1
613,20,314,1
614,1063,63,-1
615,1363,10,-1
616,20,425,1
617,556,17994,1
618,20,142,-1
619,1219,43152,-1
620,571,2879,1
621,20,148,-1
622,570,1032,1
623,20,92,-1
624,20,41,1
625,1440,79,-1
626,1440,9,-1
627,20,6,1
628,1328,20,-1
629,1440,5,-1
630,20,4,1
631,1440,15,-1
632,1406,4,-1
633,20,4,1
634,1133,13,-1
635,1440,5,-1
636,20,5,1
637,1440,22,-1
638,1041,7,-1
639,20,7,1
640,1440,487,-1
641,1364,10,-1
642,20,7,1
643,1440,24075,-1
644,1440,25,-1
645,20,11,1
646,1165,32,-1
647,1440,508,-1
648,20,12,1
649,1435,48,-1
650,1440,16,-1
651,20,10,1
652,1436,43,-1
653,1440,11,-1
654,20,9,1
655,1067,33,-1
656,1437,13,-1
657,20,11,1
658,1440,50,-1
659,1440,10,-1
660,20,8,1
661,1440,29,-1
662,1356,9,-1
663,1307,6,-1
664,20,315,1
665,1440,1001,-1
666,1436,16,-1
667,20,8,1
668,1424,31,-1
669,1435,12,-1
670,20,9,1
671,1440,51,-1
672,1435,10,-1
673,20,8,1
674,1440,33,-1
675,1439,9,-1
676,20,7,1
677,1426,35,-1
678,1429,10,-1
679,20,8,1
680,1439,34,-1
681,1440,10,-1
682,20,8,1
683,1438,32,-1
684,1428,9,-1
685,1433,6,-1
686,1440,4,-1
687,1092,5,-1
688,1415,4,-1
689,1353,4,-1
690,20,279,1
691,567,2365,1
692,20,103,-1
693,558,2985,1
694,20,123,-1
695,1395,12394,-1
696,1440,26,-1
697,1438,7,-1
698,20,6,1
699,1440,24,-1
700,1438,8,-1
701,20,6,1
702,1440,23,-1
703,1440,7,-1
704,979,5,-1
705,20,306,1
706,555,4494,1
707,20,137,-1
708,1440,3637,-1
709,1440,13,-1
710,20,7,1
711,1440,24,-1
712,1076,6,-1
713,20,4,1
714,1440,16,-1
715,1440,5,-1
716,20,4,1
717,1440,14,-1
718,1243,4,-1
719,20,5,1
720,1440,40,-1
721,780,8,-1
722,20,6,1
723,1440,26,-1
724,1440,8,-1
725,1411,5,-1
726,1050,4,-1
727,1440,4,-1
728,1440,5,-1
729,1070,6,-1
730,20,99,1
731,568,588,1
732,20,136,-1
733,560,2317,1
734,20,191,-1
735,1440,7369,-1
736,1440,21,-1
737,20,10,1
738,1440,29,-1
739,1439,7,-1
740,20,6,1
741,1438,28,-1
742,1440,7,-1
743,20,6,1
744,1434,27,-1
745,1336,9,-1
746,20,6,1
747,1440,7405,-1
748,1440,28,-1
749,20,13,1
750,1306,43,-1
751,1433,25108,-1
752,20,47,1
753,1437,59,-1
754,1440,14,-1
755,20,11,1
756,1440,38,-1
757,1440,10,-1
758,20,9,1
759,1034,38,-1
760,752,14,-1
761,1440,8,-1
762,1428,6,-1
763,1316,5,-1
764,20,293,1
765,561,4953,1
766,20,157,-1
767,1423,27211,-1
768,1218,5,-1
769,20,9,1
770,1214,7952,-1
771,20,39439,1
772,1313,31595,-1
773,20,466,1
774,562,1546,1
775,20,253,-1
776,1440,45810,-1
777,1435,37,-1
778,20,13,1
779,1267,46,-1
780,520,2571,1
781,20,99,-1
782,293,60977,-1
783,1427,1786,-1
784,20,63,1
785,1361,72,-1
786,563,973,1
787,20,167,-1
788,1435,1996,-1
789,1435,20,-1
790,20,14,1
791,1203,44,-1
792,1437,10,-1
793,20,8,1
794,1440,26,-1
795,1434,8,-1
796,20,6,1
797,1440,36,-1
798,1431,9,-1
799,20,7,1
800,1438,31,-1
801,900,11,-1
802,20,10,1
803,1358,40487,-1
804,1440,574,-1
805,20,22,1
806,1440,55,-1
807,1381,10,-1
808,20,8,1
809,1440,192,-1
810,1438,15,-1
811,20,11,1
812,1211,33,-1
813,1440,340,-1
814,20,16,1
815,1405,36,-1
816,1440,13,-1
817,1082,9,-1
818,1181,6,-1
819,1440,308,-1
820,1432,15,-1
821,1440,8,-1
822,1438,7,-1
823,1429,8,-1
824,1436,7,-1
825,1440,6,-1
826,987,5,-1
827,1440,5,-1
828,1435,7,-1
829,1317,6,-1
830,20,257,1
831,564,1407,1
832,20,84,-1
833,559,5157,1
834,20,116,-1
835,1440,3812,-1
836,1430,14,-1
837,20,8,1
838,1437,33,-1
839,1440,7,-1
840,1480,451,1
841,154,97,1
842,20,81,-1
843,1388,28003,-1
844,1440,207,-1
845,20,22,1
846,1247,47,-1
847,569,2618,1
848,20,70,-1
849,562,443,1
850,20,161,-1
851,1440,1193,-1
852,1245,16,-1
853,20,9,1
854,1440,9011,-1
855,1440,30,-1
856,20,16,1
857,1427,56,-1
858,1220,16,-1
859,20,10,1
860,1440,4063,-1
861,1440,19,-1
862,20,13,1
863,1197,51,-1
864,1440,55442,-1
865,1413,37,-1
866,20,13,1
867,1377,44,-1
868,1420,12,-1
869,20,10,1
870,1023,35,-1
871,1362,409,-1
872,20,15,1
873,1335,1289,-1
874,566,4047,1
875,20,186,-1
876,564,4158,1
877,20,153,-1
878,1429,51757,-1
879,1321,74,-1
880,20,18,1
881,564,9918,1
882,20,181,-1
883,1225,224,1
884,20,140,-1
885,1433,1338,-1
886,1429,26,-1
887,20,17,1
888,1077,10,-1
889,20,6,1
890,1436,26,-1
891,1440,6,-1
892,20,5,1
893,1431,21,-1
894,1437,5,-1
895,20,4,1
896,1440,19,-1
897,1440,8,-1
898,20,5,1
899,897,26,-1
900,567,302,1
901,20,15,-1
902,1425,25227,-1
903,1440,68,-1
904,20,17,1
905,1440,47,-1
906,1367,10,-1
907,20,7,1
908,1440,24,-1
909,1425,10,-1
910,20,8,1
911,1428,41,-1
912,1440,56,-1
913,1440,10,-1
914,20,7,1
915,1438,31,-1
916,1440,10,-1
917,20,7,1
918,1372,37,-1
919,1440,12,-1
920,20,9,1
921,1440,28,-1
922,1153,7,-1
923,20,5,1
924,564,1755,1
925,20,192,-1
926,1432,13401,-1
927,1440,43,-1
928,20,22,1
929,1440,60,-1
930,1440,16,-1
931,20,8,1
932,882,38,-1
933,1438,11,-1
934,20,7,1
935,1440,28,-1
936,1333,12,-1
937,20,8,1
938,572,692,1
939,20,124,-1
940,1440,763,-1
941,1151,10,-1
942,20,6,1
943,1438,813,-1
944,1374,11,-1
945,20,7,1
946,1436,367,-1
947,1169,11,-1
948,20,6,1
949,561,7577,1
950,20,207,-1
951,1435,11205,-1
952,1435,39,-1
953,20,16,1
954,1434,59,-1
955,1438,9,-1
956,20,8,1
957,1440,36,-1
958,1321,8,-1
959,20,6,1
960,1440,33,-1
961,1412,7,-1
962,20,6,1
963,1440,33,-1
964,1440,10,-1
965,20,7,1
966,1435,30,-1
967,1440,9,-1
968,20,8,1
969,1030,39,-1
970,1365,13,-1
971,20,319,1
972,562,2053,1
973,20,60,-1
974,1435,39924,-1
975,1434,41,-1
976,20,14,1
977,1440,43,-1
978,1359,9,-1
979,20,8,1
980,1440,36,-1
981,1439,11,-1
982,20,7,1
983,1364,36,-1
984,20,7,1
985,1285,19,-1
986,563,609,1
987,20,138,-1
988,1440,5412,-1
989,1439,20,-1
990,20,8,1
991,1082,33,-1
992,561,429,1
993,20,126,-1
994,1439,34624,-1
995,1431,26,-1
996,20,12,1
997,1439,32,-1
998,1434,7,-1
999,20,5,1
1000,1062,23,-1
1001,564,1189,1
1002,20,152,-1
1003,1372,20335,-1
1004,1433,744,-1
1005,20,28,1
1006,1430,53,-1
1007,1333,15,-1
1008,1437,14,-1
1009,20,7,1
1010,1171,28,-1
1011,1439,480,-1
1012,20,14,1
1013,1440,37,-1
1014,1305,10,-1
1015,20,9,1
1016,564,2855,1
1017,20,135,-1
1018,1438,21656,-1
1019,1421,41,-1
1020,20,14,1
1021,1140,45,-1
1022,1319,10,-1
1023,20,9,1
1024,1439,1577,-1
1025,1440,17,-1
1026,20,12,1
1027,1130,36,-1
1028,1440,9,-1
1029,20,6,1
1030,1253,41,-1
1031,1440,21361,-1
1032,20,130,-1
1033,564,5053,1
1034,20,179,-1
1035,1440,4413,-1
1036,1423,18,-1
1037,20,14,1
1038,1154,48,-1
1039,1387,1332,-1
1040,20,23,1
1041,1376,2674,-1
1042,1437,276,-1
1043,20,20,1
1044,1438,60,-1
1045,1230,11,-1
1046,20,9,1
1047,1375,353,-1
1048,1440,299,-1
1049,20,19,1
1050,1422,43,-1
1051,1427,10,-1
1052,20,7,1
1053,1429,29,-1
1054,1418,12,-1
1055,20,7,1
1056,1440,40,-1
1057,1440,7,-1
1058,20,4,1
1059,1409,16,-1
1060,1363,5,-1
1061,20,3,1
1062,566,896,1
1063,20,99,-1
1064,1440,3743,-1
1065,1432,13,-1
1066,20,12,1
1067,1440,41,-1
1068,1044,11,-1
1069,20,10,1
1070,1440,63,-1
1071,1201,9,-1
1072,20,5,1
1073,1440,1793,-1
1074,1440,13,-1
1075,20,7,1
1076,1100,29,-1
1077,1440,1668,-1
1078,20,22,1
1079,1427,59,-1
1080,20,1093,-1
1081,566,9787,1
1082,20,205,-1
1083,1434,32160,-1
1084,1439,49,-1
1085,20,18,1
1086,1425,45,-1
1087,1440,9,-1
1088,20,8,1
1089,1438,35,-1
1090,1373,10,-1
1091,20,9,1
1092,1440,26,-1
1093,1437,8,-1
1094,20,9,1
1095,1440,29,-1
1096,1440,8,-1
1097,1435,4,-1
1098,1440,4,-1
1099,712,6,-1
1100,1440,5,-1
1101,1170,4,-1
1102,1440,5,-1
1103,1268,4,-1
1104,1099,5,-1
1105,1353,3,-1
1106,20,3,1
1107,566,1335,1
1108,20,176,-1
1109,568,1593,1
1110,20,108,-1
1111,1327,1557,-1
1112,1440,8164,-1
1113,20,20,1
1114,1439,41,-1
1115,1440,10,-1
1116,20,7,1
1117,1440,26,-1
1118,1008,6,-1
1119,20,5,1
1120,1440,15212,-1
1121,1440,28,-1
1122,20,13,1
1123,1440,38,-1
1124,1103,12,-1
1125,20,8,1
1126,1436,31565,-1
1127,1428,45,-1
1128,1433,9,-1
1129,20,9,1
1130,1440,39,-1
1131,1002,11,-1
1132,20,7,1
1133,570,630,1
1134,20,106,-1
1135,1440,1873,-1
1136,1439,16,-1
1137,20,11,1
1138,1440,43,-1
1139,1416,13,-1
1140,20,11,1
1141,1440,43,-1
1142,1293,11,-1
1143,20,12,1
1144,1440,1629,-1
1145,1440,15,-1
1146,20,10,1
1147,1440,38,-1
1148,1076,10,-1
1149,20,7,1
1150,1440,30,-1
1151,1399,9,-1
1152,1428,6520,-1
1153,20,52,1
1154,1440,70,-1
1155,1430,12,-1
1156,20,9,1
1157,1430,37,-1
1158,1432,10,-1
1159,20,8,1
1160,1434,38,-1
1161,1440,13,-1
1162,20,10,1
1163,1439,45,-1
1164,1435,11,-1
1165,20,9,1
1166,1405,45,-1
1167,1435,13,-1
1168,20,9,1
1169,1439,52,-1
1170,1440,10,-1
1171,20,7,1
1172,841,36,-1
1173,1437,372,-1
1174,1402,10,-1
1175,1418,5,-1
1176,1206,6,-1
1177,20,6,1
1178,1440,3154,-1
1179,1429,23,-1
1180,20,16,1
1181,1440,70,-1
1182,1186,15,-1
1183,20,13,1
1184,1440,50,-1
1185,1247,11,-1
1186,20,10,1
1187,1440,39,-1
1188,1438,11,-1
1189,1437,6,-1
1190,1435,7,-1
1191,1433,7,-1
1192,1420,7,-1
1193,1410,6,-1
1194,1426,5,-1
1195,1012,5,-1
1196,20,608,1
1197,560,4052,1
1198,20,129,-1
1199,593,3544,1
1200,1433,817,-1
1201,20,16,1
1202,1284,50,-1
1203,1440,645,-1
1204,20,18,1
1205,1428,51,-1
1206,1258,15,-1
1207,20,13,1
1208,1301,2032,-1
1209,1435,7416,-1
1210,20,31,1
1211,1318,57,-1
1212,1432,3210,-1
1213,20,33,1
1214,1440,65,-1
1215,1235,16,-1
1216,20,7,1
1217,564,2452,1
1218,20,124,-1
1219,1440,7517,-1
1220,1050,23,-1
1221,20,7,1
1222,583,474,1
1223,20,160,-1
1224,1440,18,-1
1225,20,15,1
1226,950,42,-1
1227,1436,27,-1
1228,20,11,1
1229,1440,36,-1
1230,1434,10,-1
1231,20,8,1
1232,1440,51,-1
1233,1089,10,-1
1234,20,8,1
1235,1440,34,-1
1236,1439,8,-1
1237,20,7,1
1238,1440,28,-1
1239,1440,6,-1
1240,20,6,1
1241,1440,18,-1
1242,1437,7,-1
1243,1433,4,-1
1244,1426,3,-1
1245,1084,4,-1
1246,1431,3,-1
1247,1423,3,-1
1248,1440,15,-1
1249,20,10,1
1250,841,36,-1
1251,568,771,1
1252,20,144,-1
1253,565,4600,1
1254,20,159,-1
1255,1431,52699,-1
1256,1438,59,-1
1257,20,17,1
1258,1432,53,-1
1259,1440,11,-1
1260,20,10,1
1261,1439,46,-1
1262,1028,15,-1
1263,20,14,1
1264,1440,44,-1
1265,1440,12,-1
1266,20,9,1
1267,1433,41,-1
1268,1440,9,-1
1269,20,9,1
1270,1435,32,-1
1271,1425,9,-1
1272,1423,3,-1
1273,1396,4,-1
1274,1364,3,-1
1275,20,4,1
1276,20,336,1
1277,1432,336,-1
1278,20,15,1
1279,1369,63,-1
1280,559,800,1
1281,20,3,-1
1282,1440,231,-1
1283,1434,11,-1
1284,20,7,1
1285,1436,25,-1
1286,1404,8,-1
1287,20,5,1
1288,1187,26,-1
1289,1440,272,-1
1290,20,10,1
1291,1439,22,-1
1292,1209,7,-1
1293,20,6,1
1294,1434,15325,-1
1295,1295,36,-1
1296,20,19,1
1297,1436,46,-1
1298,1411,10,-1
1299,20,7,1
1300,1437,41,-1
1301,1432,11,-1
1302,20,9,1
1303,1014,38,-1
1304,570,1877,1
1305,20,104,-1
1306,562,3659,1
1307,20,75,-1
1308,1336,18701,-1
1309,1440,1838,-1
1310,20,26,1
1311,1439,50,-1
1312,1182,11,-1
1313,20,7,1
1314,1440,2678,-1
1315,1301,19,-1
1316,20,9,1
1317,1234,50,-1
1318,1440,10152,-1
1319,20,35,1
1320,1419,23,-1
1321,1348,5,-1
1322,20,3,1
1323,574,879,1
1324,20,71,-1
1325,1440,1832,-1
1326,1428,13,-1
1327,20,8,1
1328,1437,30,-1
1329,1423,8,-1
1330,20,8,1
1331,1440,52,-1
1332,1440,12,-1
1333,20,9,1
1334,1438,32,-1
1335,1435,8,-1
1336,20,9,1
1337,1440,36,-1
1338,929,13,-1
1339,20,9,1
1340,1437,254,-1
1341,1440,24,-1
1342,20,10,1
1343,1288,38,-1
1344,20,16,1
1345,1440,142,-1
1346,1440,13,-1
1347,20,9,1
1348,1407,39,-1
1349,1440,10,-1
1350,20,9,1
1351,1440,45,-1
1352,978,10,-1
1353,20,18,1
1354,1435,52,-1
1355,1391,16,-1
1356,20,284,1
1357,1440,95,-1
1358,1440,13,-1
1359,1440,5,-1
1360,987,6,-1
1361,1440,5,-1
1362,1439,5,-1
1363,1433,4,-1
1364,1388,4,-1
1365,1439,4,-1
1366,1436,4,-1
1367,1206,4,-1
1368,1427,12054,-1
1369,20,61,1
1370,1438,62,-1
1371,1438,14,-1
1372,20,11,1
1373,1439,48,-1
1374,1407,12,-1
1375,20,12,1
1376,1440,148,-1
1377,1440,19,-1
1378,20,13,1
1379,1440,45,-1
1380,921,14,-1
1381,20,10,1
1382,1440,2498,-1
1383,1440,21,-1
1384,20,12,1
1385,1216,40,-1
1386,1434,702,-1
1387,20,26,1
1388,1440,70,-1
1389,1235,15,-1
1390,20,14,1
1391,1411,45,-1
1392,1440,7817,-1
1393,20,30,1
1394,1440,34,-1
1395,1238,7,-1
1396,20,5,1
1397,1440,9178,-1
1398,1440,23,-1
1399,20,11,1
1400,1193,31,-1
1401,1434,22378,-1
1402,20,47,1
1403,1440,47,-1
1404,1433,8,-1
1405,20,5,1
1406,1435,19,-1
1407,1125,6,-1
1408,20,5,1
1409,1440,401,-1
1410,1439,9,-1
1411,20,5,1
1412,1434,21,-1
1413,1148,6,-1
1414,20,5,1
1415,1437,277,-1
1416,20,424,-1
1417,557,1081,1
1418,20,114,-1
1419,558,259,1
1420,20,118,-1
1421,1480,791,1
1422,1347,115,1
1423,20,88,-1
1424,562,45895,-1
1425,69,7445,-1
1426,555,326,1
1427,20,105,-1
1428,557,169,1
1429,20,68,-1
1430,1226,248,1
1431,20,96,-1
1432,1480,317,1
1433,20,57,1
1434,20,20,1
1435,1480,265,1
1436,90,99,1
1437,20,57,-1
1438,1342,54030,-1
1439,1318,919,-1
